OID_,OBJECTID,GEO_ID,TYPE_DESC,SCODE_NAME,LCODE_NAME,NAME
0,180,180.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
1,193,193.000000000000000,CGSP, ,3050,PUBLIC ACCESS PROPERTY
2,325,325.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
3,327,327.000000000000000,CGSP, ,3024,EAST HIGHLAND CREEK WATERCOURSE
4,328,328.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
5,333,333.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
6,334,334.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
7,337,337.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
8,339,339.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
9,553,553.000000000000000,CGSP, ,354283,DOUGLAS GREENBELT
10,556,556.000000000000000,CGSP, ,354566,CHARLES SAURIOL CONSERVATION AREA
11,574,574.000000000000000,CGSP, ,354677,DANE PARKETTE
12,576,576.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
13,578,578.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
14,4307622,1307.000000000000000,CGSP,1307,1307,MANOR PARK
15,581,581.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
16,4307623,1307.000000000000000,CGSP,1307,1307,MANOR PARK
17,4307902,31565.000000000000000,CGSP,31565,31565,THISTLETOWN MULTI-SERVICE CENTRE - Building Grounds
18,4309942,1525.000000000000000,CGSP,1525,1525,LOGAN GREEN FIELD
19,98,98.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
20,99,99.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
21,194,194.000000000000000,CGSP, ,3024,EAST HIGHLAND CREEK WATERCOURSE
22,195,195.000000000000000,CGSP, ,3053,ROUGE RIVER WATERCOURSE
23,198,198.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
24,199,199.000000000000000,CGSP, ,354722,DUNCAN CREEK PARK
25,201,201.000000000000000,CGSP, ,3053,ROUGE RIVER WATERCOURSE
26,341,341.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
27,344,344.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
28,346,346.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
29,348,348.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
30,582,582.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
31,583,583.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
32,584,584.000000000000000,CGSP, ,354566,CHARLES SAURIOL CONSERVATION AREA
33,585,585.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
34,586,586.000000000000000,CGSP, ,3015,CHINE DRIVE WOODLOT
35,588,588.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
36,590,590.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
37,591,591.000000000000000,CGSP, ,3031,GLENGROVE / MARLEE PARKETTE
38,103,103.000000000000000,CGSP, ,3064,TORONTO ZOO
39,104,104.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
40,4305491,1842.000000000000000,CGSP,1842,1842,LAWREN HARRIS PARK
41,4305492,1130.000000000000000,CGSP,1130,1130,WILLOWRIDGE PARK
42,4305493,1073.000000000000000,CGSP,1073,1073,VEROBEACH PARKETTE
43,4305494,610.000000000000000,CGSP,610,610,LAURENTIDE PARK
44,202,202.000000000000000,CGSP, ,3024,EAST HIGHLAND CREEK WATERCOURSE
45,203,203.000000000000000,CGSP, ,354738,EAST DON PARKLAND
46,204,204.000000000000000,CGSP, ,354684,DEAN PARK
47,205,205.000000000000000,CGSP, ,354684,DEAN PARK
48,207,207.000000000000000,CGSP, ,3066,WEST HIGHLAND CREEK WATERCOURSE
49,208,208.000000000000000,CGSP, ,3024,EAST HIGHLAND CREEK WATERCOURSE
50,353,353.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
51,354,354.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
52,367,367.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
53,368,368.000000000000000,CGSP, ,354738,EAST DON PARKLAND
54,369,369.000000000000000,CGSP, ,3047,PIONEER CREEK VILLAGE
55,370,370.000000000000000,CGSP, ,3066,WEST HIGHLAND CREEK WATERCOURSE
56,592,592.000000000000000,CGSP, ,354758,EGLINTON PARK
57,595,595.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
58,597,597.000000000000000,CGSP, ,354203,BLUFFER'S PARK
59,599,599.000000000000000,CGSP, ,354108,WARDEN WOODS
60,600,600.000000000000000,CGSP, ,3043,MIDLAND RAVINE
61,110,110.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
62,111,111.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
63,113,113.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
64,114,114.000000000000000,CGSP, ,3017,CITY WIDE OPEN SPACE
65,118,118.000000000000000,CGSP, ,3056,STAINES ROAD RETENTION POND
